timestamp,open,high,low,close,volume,turnover
1749453180000,117856.4,118877.6,117856.4,118500,0.071,8406.686
1749453120000,118407.2,118773.2,117538,117856.4,0.143,16846.9267
1749453060000,117538,118615.7,117538,118407.2,0.151,17818.0362
1749453000000,117640,117640,117538,117538,0.14,16461.45
1749452940000,117590,117640,117538,117640,0.364,42786.035
1749452880000,117538,117590,117538,117590,0.014,1645.594
1749452820000,117582.4,117600,117538,117538,0.048,5642.062
1749452760000,117538,117600,117380.9,117582.4,2.014,236566.3868
1749452700000,117231.3,117548,117046.5,117538,7.397,868255.5026
1749452640000,116500,117231.3,116250,117231.3,4.384,511375.6893
1749452580000,116000,116500,114750,116500,0.386,44686.506
1749452520000,115051,116000,115051,116000,0.327,37674.5608
1749452460000,114944.3,115051,114696.3,115051,0.22,25271.8825
1749452400000,116750,116870.3,114696.3,114944.3,3.065,351748.0332
1749452340000,117550,117644.9,112847.8,116750,1.525,174818.2092
1749452280000,117550,117550,117550,117550,0,0
1749452220000,117550,117550,117460,117550,0.031,3643.96
1749452160000,117500,117550,117500,117550,0.02,2350.99
1749452100000,117543.5,117708.1,116210,117500,0.131,15324.6729
1749452040000,116273.6,117708.1,116273.6,117543.5,0.07,8184.2369
1749451980000,116273.6,116273.6,116273.6,116273.6,0,0
1749451920000,118139.6,118139.6,116210,116273.6,0.103,12052.6161
1749451860000,116861.4,118139.6,116861.4,118139.6,0.037,4365.5478
1749451800000,116915.3,118000,116861.4,116861.4,0.072,8449.4737
1749451740000,116913.4,117082.3,116854.9,116915.3,0.017,1988.1507
1749451680000,117123.2,117123.2,116801.5,116913.4,0.088,10286.5457
1749451620000,116310,117158.3,116310,117123.2,0.109,12727.1484
1749451560000,116101.7,116310,116055.5,116310,0.129,15000.8951
1749451500000,116812.9,116812.9,116000,116101.7,0.063,7336.1479
1749451440000,116865,116865,116812.9,116812.9,0.009,1051.5299
1749451380000,116965,116965,116865,116865,0.1,11688.5
1749451320000,116917,116965,116865,116965,0.08,9355.4
1749451260000,116837.6,116917,116837.6,116917,0.005,584.585
1749451200000,116859.5,117081.7,116801.1,116837.6,0.045,5262.8829
1749451140000,116916.2,117042.4,116654.2,116859.5,0.053,6194.3482
1749451080000,116963.8,116963.8,116750,116916.2,0.008,934.8561
1749451020000,116941,117036.8,116748.2,116963.8,0.06,7015.0967
1749450960000,116911.7,116970.1,116631.3,116941,0.039,4555.5788
1749450900000,116962.1,116962.1,116631.3,116911.7,0.035,4087.4552
1749450840000,116750,116962.1,116750,116962.1,0.023,2688.4341
1749450780000,117022.1,117022.1,116750,116750,0.063,7361.9771
1749450720000,116775,117022.1,116775,117022.1,0.021,2456.7166
1749450660000,116775,116775,116775,116775,0,0
1749450600000,116800,116963.6,116775,116775,0.03,3505.511
1749450540000,116963.6,116963.6,116800,116800,0.016,1868.8
1749450480000,116800,116963.6,116800,116963.6,0.001,116.9636
1749450420000,116800,116963.6,116800,116800,0.009,1052.3452
1749450360000,117066.8,117066.8,116800,116800,0.003,350.5636
1749450300000,116949.9,117066.8,116800,117066.8,0.019,2222.6909
1749450240000,116800,116949.9,116800,116949.9,0.018,2104.3497
1749450180000,116800,116800,116800,116800,0.001,116.8
1749450120000,116848.3,116900,116800,116800,0.168,19631
1749450060000,116626.5,116848.3,116626.5,116848.3,0.001,116.8483
1749450000000,116990.1,117000,116626.5,116626.5,0.031,3621.8784
1749449940000,116900,116997.6,116717,116990.1,0.038,4439.8505
1749449880000,116900,116900,116900,116900,0.001,116.9
1749449820000,117000,117060.6,116505,116900,0.041,4790.8072
1749449760000,117000,117000,117000,117000,0,0
1749449700000,116838.8,117000,116838.8,117000,0.001,117
1749449640000,117205,117205,116505,116838.8,0.076,8882.6653
1749449580000,116900,117205,116900,117205,0.034,3981.4514
1749449520000,116607.2,116951.4,116607.2,116900,0.04,4676.1172
1749449460000,116607.2,116607.2,116607.2,116607.2,0,0
1749449400000,116607.2,116607.2,116607.2,116607.2,0.005,583.036
1749449340000,116621,116770.6,116607.2,116607.2,0.007,816.4138
1749449280000,116621,116621,116621,116621,0,0
1749449220000,117196.7,117196.7,116500,116621,0.071,8305.5951
1749449160000,117185,117196.7,117185,117196.7,0.003,351.5901
1749449100000,117285,117342,117185,117185,0.12,14066.666
1749449040000,116650,117500,116571.1,117285,0.157,18383.8749
1749448980000,116650,116650,116650,116650,0,0
1749448920000,116500,116705.7,116500,116650,0.014,1633.5421
1749448860000,116500,116500,116500,116500,0,0
1749448800000,116308.1,116500,116308.1,116500,0.117,13614.0201
1749448740000,116412.8,117500,116000,116308.1,0.3,34984.0619
1749448680000,116412.8,116412.8,116412.8,116412.8,0,0
1749448620000,116500,116505,116272,116412.8,0.037,4307.7769
1749448560000,116500,116500,116500,116500,0,0
1749448500000,116752.4,116915.9,115500,116500,0.15,17423.3571
1749448440000,117569.7,117676.6,115431.8,116752.4,0.266,30898.4454
1749448380000,117569.7,117569.7,117569.7,117569.7,0,0
1749448320000,116919.6,117569.7,116919.6,117569.7,0.052,6094.4134
1749448260000,117115.5,117115.5,116919.6,116919.6,0.006,701.5275
1749448200000,117115.5,117115.5,117115.5,117115.5,0,0
1749448140000,116291.7,117144.3,116291.7,117115.5,0.164,19119.1287
1749448080000,115831.1,116305.6,115831.1,116291.7,0.261,30292.4104
1749448020000,116748.2,117500,115669,115831.1,0.554,64368.203
1749447960000,116748.2,116748.2,116748.2,116748.2,0.004,466.9928
1749447900000,116911.8,116911.8,116748.2,116748.2,0.004,467.32
1749447840000,116625.2,117417.3,116625.2,116911.8,0.134,15677.2307
1749447780000,116250,116625.2,116250,116625.2,0.018,2097.1579
1749447720000,115855,116750,115855,116250,0.19,22082.9386
1749447660000,116250,116316.5,115505.3,115855,0.261,30204.3531
1749447600000,116250,116250,116153.7,116250,0.003,348.6537
1749447540000,118224.6,118224.6,115750,116250,0.204,23773.6803
1749447480000,118108.8,118258.2,118000.1,118224.6,0.123,14534.7911
1749447420000,117538.6,118120,117529,118108.8,0.32,37720.5338
1749447360000,116272.8,117538.6,116272.8,117538.6,0.389,45590.2944
1749447300000,116184.3,116282.8,116184.3,116272.8,0.007,813.8512
1749447240000,116434,116434,115911.6,116184.3,0.423,49050.3968
1749447180000,116281.7,116434,116281.7,116434,0.01,1163.8521
1749447120000,116374.3,116523.4,116053.3,116281.7,0.358,41558.9369
1749447060000,116374.3,116374.3,116374.3,116374.3,0,0
1749447000000,116316.1,116374.3,116316.1,116374.3,0.005,581.8715
1749446940000,116413.1,116595.5,115172.5,116316.1,0.153,17754.2014
1749446880000,114461.9,116413.1,114425.8,116413.1,0.399,46064.9487
1749446820000,113747.2,114719.5,113588,114461.9,0.084,9581.4343
1749446760000,113747.2,113747.2,113588,113747.2,0.056,6365.3856
1749446700000,113361.6,113747.2,113361.6,113747.2,0.059,6700.9693
1749446640000,114560,114597.8,113127.4,113361.6,0.222,25330.2411
1749446580000,114560,114560,114560,114560,0,0
1749446520000,114610.2,114752.7,114560,114560,0.213,24416.6075
1749446460000,114610.2,114610.2,114610.2,114610.2,0,0
1749446400000,114610.2,114610.2,114610.2,114610.2,0,0
